APM,Precision,AvgDistance,DamageTakenPerMin,DamageDealtPerMin,RangedRatio,DashPerMin,ShieldPerMin,TimeInRiskZone,RewardChosen,PerfilJugador
30.56,0.89,5.02,37.87,725.13,0.53,8.76,5.91,0.29,Velocity,Expert
35.53,0.88,5.71,15.99,1117.28,0.48,9.85,6.13,0.34,Sword Damage,Expert
20.78,0.98,5.69,22.45,748.64,1.0,8.94,1.98,0.11,Bow Damage,Tactic
62.53,1.0,2.59,119.87,1359.45,0.0,10.19,0.0,0.77,Max Health,Berserker
55.55,0.85,2.2,256.56,1070.08,0.0,15.0,0.0,0.76,Sword Damage,Berserker
55.12,0.89,4.85,187.07,920.8,0.0,13.28,0.02,0.68,Health,Berserker
22.93,0.68,4.94,101.97,513.1,0.64,8.96,5.53,0.16,Health,Unskilful
42.22,0.88,5.09,90.25,1115.48,0.34,14.54,5.22,0.33,Velocity,Speedrunner
29.86,0.93,4.63,4.41,832.84,0.72,16.37,1.68,0.26,Bow Damage,Expert
21.32,1.0,5.11,6.95,753.83,0.98,8.62,0.21,0.07,Armor,Tactic
25.67,0.68,4.47,118.89,613.73,0.38,8.05,5.57,0.33,Armor,Unskilful
22.69,0.74,5.79,19.45,511.13,0.67,11.51,3.8,0.16,Armor,Tactic
21.08,1.0,6.77,0.0,737.7,1.0,5.27,0.0,0.03,Shield,Tactic
20.92,1.0,6.98,1.86,719.41,1.0,6.88,0.0,0.07,Shield,Tactic
33.98,0.59,4.64,174.07,567.95,0.39,5.06,1.38,0.53,Health,Unskilful
35.63,0.93,4.86,143.69,1271.12,0.45,6.97,5.13,0.28,Sword Damage,Expert
55.3,0.85,4.33,146.1,1250.33,0.34,13.71,5.24,0.46,Sword Damage,Speedrunner
48.03,0.76,3.23,220.78,1098.74,0.29,15.85,0.14,0.59,Bow Damage,Speedrunner
26.16,0.58,4.44,128.24,531.81,0.51,5.71,2.72,0.42,Health,Unskilful
34.83,0.59,4.81,115.57,581.66,0.45,4.89,3.14,0.33,Shield,Unskilful
48.69,0.94,3.59,229.86,1063.2,0.0,14.89,2.43,0.62,Max Health,Berserker
47.05,0.93,2.29,243.43,1035.94,0.23,12.27,3.73,0.7,Bow Damage,Speedrunner
12.51,0.9,4.1,64.17,408.2,0.99,5.97,0.4,0.34,Armor,Tactic
37.05,0.57,4.96,119.24,620.24,0.47,4.85,3.77,0.31,Shield,Unskilful
38.76,0.93,3.45,69.74,1291.92,0.49,12.59,3.62,0.3,Velocity,Speedrunner
47.82,0.8,4.56,392.21,1051.53,0.23,9.28,3.63,0.31,Velocity,Speedrunner
17.21,0.94,6.26,84.79,553.12,0.99,5.57,0.84,0.02,Bow Damage,Tactic
27.46,0.71,4.5,136.39,606.52,0.37,8.46,5.39,0.36,Armor,Unskilful
28.78,0.99,5.35,15.42,847.42,0.6,16.3,3.44,0.29,Bow Damage,Expert
58.32,0.8,3.48,331.34,1201.68,0.0,12.98,0.04,0.66,Velocity,Berserker
18.71,1.0,6.19,0.0,630.31,0.98,10.73,2.68,0.12,Velocity,Tactic
48.53,0.81,3.68,155.25,1252.02,0.32,15.67,5.26,0.46,Health,Speedrunner
37.17,0.53,6.06,144.53,667.98,0.55,3.06,1.53,0.14,Shield,Unskilful
50.5,0.88,4.83,196.96,972.16,0.0,10.66,0.03,0.69,Health,Berserker
20.29,0.91,5.33,10.13,735.79,1.0,9.92,2.0,0.09,Velocity,Tactic
21.37,0.67,5.0,108.71,522.1,0.64,9.09,5.45,0.21,Health,Unskilful
59.37,0.99,3.03,239.87,1708.2,0.17,10.85,7.74,0.73,Max Health,Speedrunner
38.18,0.54,3.84,112.61,610.09,0.34,7.64,5.03,0.41,Health,Unskilful
50.13,0.88,3.8,139.29,1255.62,0.39,13.84,8.67,0.56,Bow Damage,Speedrunner
46.26,0.95,2.12,270.73,1005.07,0.2,12.94,3.07,0.72,Bow Damage,Speedrunner
61.87,0.9,3.7,167.34,1377.4,0.26,18.54,6.31,0.61,Velocity,Speedrunner
48.17,0.9,3.82,78.75,1710.34,0.61,0.0,9.66,0.35,Max Health,Expert
59.47,0.81,3.49,335.74,1227.85,0.0,13.43,0.0,0.66,Velocity,Berserker
60.11,0.92,4.47,173.22,1378.54,0.23,15.03,5.64,0.6,Velocity,Speedrunner
31.99,0.6,4.33,113.21,613.06,0.48,5.96,5.42,0.3,Armor,Unskilful
45.98,0.94,3.27,336.02,977.51,0.0,16.07,1.24,0.54,Sword Damage,Berserker
49.24,0.75,3.14,251.67,1052.73,0.28,16.65,0.45,0.6,Bow Damage,Speedrunner
28.42,1.0,5.36,128.53,1161.75,0.51,10.02,3.38,0.34,Health,Expert
51.24,0.83,5.92,132.87,770.67,0.0,14.59,0.03,0.61,Max Health,Berserker
26.67,0.96,3.59,124.38,818.3,0.54,12.32,4.32,0.43,Velocity,Expert
55.79,0.95,5.18,273.57,1379.79,0.0,11.22,0.0,0.48,Sword Damage,Berserker
44.43,0.95,3.3,327.92,909.72,0.0,15.87,1.06,0.52,Sword Damage,Berserker
49.95,0.79,3.58,160.2,1218.71,0.31,15.2,5.1,0.45,Health,Speedrunner
48.2,0.79,4.76,380.53,1099.51,0.25,9.3,4.44,0.28,Velocity,Speedrunner
22.39,0.65,4.76,128.81,485.23,0.46,3.21,4.53,0.42,Shield,Unskilful
66.48,0.92,3.83,337.42,1961.95,0.13,13.14,4.79,0.62,Sword Damage,Speedrunner
56.69,0.48,4.41,148.01,795.87,0.23,3.03,8.12,0.52,Health,Unskilful
60.14,0.95,2.45,136.82,1114.94,0.0,11.26,0.04,0.79,Sword Damage,Berserker
23.05,0.93,4.84,4.55,666.05,0.87,12.9,2.9,0.19,Shield,Tactic
65.01,0.87,2.31,249.58,1246.08,0.0,19.19,2.88,0.77,Armor,Berserker
23.09,0.95,4.86,8.26,648.9,0.86,12.22,3.25,0.17,Shield,Tactic
21.29,0.99,5.4,31.42,718.89,0.79,9.12,1.6,0.14,Bow Damage,Tactic
36.99,0.39,5.62,98.01,469.26,0.4,6.74,5.36,0.27,Health,Unskilful
48.44,0.81,5.98,135.13,756.73,0.0,13.47,0.0,0.59,Max Health,Berserker
36.96,0.82,2.45,226.58,780.09,0.28,15.56,2.45,0.74,Velocity,Speedrunner
16.06,0.93,6.36,114.47,517.29,1.0,11.51,0.0,0.0,Armor,Tactic
20.14,0.91,7.55,22.92,636.46,1.0,0.0,0.0,0.01,Max Health,Tactic
19.64,0.9,6.2,13.39,650.23,1.0,10.05,3.43,0.02,Max Health,Tactic
43.17,0.89,5.12,98.42,1153.95,0.35,14.17,4.47,0.33,Velocity,Speedrunner
37.95,0.62,3.84,148.06,623.11,0.34,3.89,4.29,0.62,Health,Unskilful
45.73,0.99,3.03,104.77,1218.07,0.34,17.85,7.97,0.6,Bow Damage,Expert
54.43,0.85,2.0,253.16,1101.87,0.0,13.56,0.0,0.78,Sword Damage,Berserker
12.3,0.92,4.1,60.61,394.8,0.98,5.6,0.49,0.35,Armor,Tactic
21.43,1.0,5.34,26.57,673.51,0.8,9.06,1.15,0.19,Bow Damage,Tactic
26.3,0.67,4.86,101.35,482.1,0.42,7.67,6.57,0.33,Shield,Unskilful
21.8,0.93,6.2,3.93,713.2,1.0,9.75,3.15,0.07,Bow Damage,Tactic
79.3,0.98,2.62,305.2,1954.02,0.0,5.7,0.0,0.76,Health,Berserker
23.25,0.9,5.59,35.7,1079.77,0.81,9.78,2.14,0.14,Health,Expert
26.72,0.86,4.15,90.66,820.68,0.57,13.36,3.82,0.38,Shield,Expert
20.31,0.99,5.9,22.94,732.7,1.0,8.26,1.39,0.08,Bow Damage,Tactic
35.71,0.89,5.81,31.36,1059.49,0.51,9.13,6.65,0.35,Sword Damage,Expert
31.66,0.66,4.27,123.12,574.73,0.51,5.01,6.45,0.19,Max Health,Unskilful
36.85,0.61,4.85,169.66,570.24,0.41,5.33,1.66,0.51,Health,Unskilful
50.44,0.81,3.83,154.71,1173.8,0.33,15.68,5.15,0.45,Health,Speedrunner
64.01,0.99,1.99,159.25,1653.65,0.41,11.48,7.19,0.73,Velocity,Speedrunner
30.7,1.0,4.22,59.35,901.86,0.61,13.55,4.41,0.2,Bow Damage,Expert
17.2,0.93,6.13,80.84,561.73,1.0,6.46,0.42,0.0,Bow Damage,Tactic
52.73,0.92,4.34,84.56,1256.59,0.34,13.64,5.59,0.49,Velocity,Speedrunner
25.82,0.94,4.49,28.25,625.28,0.52,12.11,1.21,0.24,Velocity,Expert
34.69,0.61,4.74,172.64,613.61,0.42,5.76,1.88,0.52,Health,Unskilful
33.49,0.93,4.58,143.39,1282.69,0.47,8.56,5.37,0.26,Sword Damage,Expert
30.45,0.52,5.61,102.15,505.13,0.69,4.22,1.94,0.16,Health,Unskilful
44.46,0.92,3.61,99.92,1180.1,0.42,9.94,7.51,0.49,Shield,Expert
59.7,0.95,2.67,149.53,1177.91,0.0,11.61,0.2,0.81,Sword Damage,Berserker
57.93,0.89,2.7,233.57,1131.8,0.0,8.11,0.12,0.77,Sword Damage,Berserker
31.96,1.0,4.8,23.72,885.2,0.55,14.51,5.57,0.29,Bow Damage,Expert
35.99,0.63,3.67,148.09,591.49,0.28,4.11,4.14,0.63,Health,Unskilful
36.24,0.57,5.0,121.03,617.83,0.48,5.04,4.15,0.34,Shield,Unskilful
33.86,0.44,5.0,104.22,491.32,0.39,8.91,5.02,0.19,Health,Unskilful
21.47,0.93,5.13,34.14,731.6,0.72,12.27,2.9,0.11,Shield,Expert
52.88,0.87,4.77,207.62,1046.18,0.0,11.34,0.11,0.7,Health,Berserker
19.6,0.93,7.52,15.91,644.01,1.0,0.32,0.0,0.01,Max Health,Tactic
16.93,0.94,6.78,0.0,562.85,1.0,12.35,2.28,0.07,Bow Damage,Tactic
22.66,0.92,6.57,1.97,718.09,0.93,8.32,0.06,0.01,Bow Damage,Tactic
54.69,0.87,4.8,172.58,855.99,0.0,11.88,0.0,0.66,Health,Berserker
78.18,0.89,2.91,271.55,1544.39,0.1,6.87,6.91,0.7,Sword Damage,Speedrunner
22.84,0.92,4.75,7.83,718.33,0.87,13.25,2.96,0.19,Shield,Tactic
28.17,0.94,4.12,83.77,826.59,0.61,14.49,6.87,0.3,Bow Damage,Expert
32.64,0.79,2.97,140.97,800.45,0.37,3.42,6.96,0.53,Velocity,Unskilful
49.58,0.51,2.22,152.98,736.37,0.25,5.18,3.1,0.76,Max Health,Unskilful
61.92,0.95,3.46,128.56,1227.86,0.0,19.66,0.0,0.67,Velocity,Berserker
20.71,0.67,7.02,14.48,482.75,0.77,6.91,0.94,0.07,Bow Damage,Tactic
20.1,0.85,6.48,40.9,636.43,1.0,6.7,0.0,0.09,Armor,Tactic
20.62,0.84,6.39,40.48,631.88,0.98,8.03,0.0,0.08,Armor,Tactic
37.47,0.82,2.48,244.46,841.58,0.33,14.91,2.61,0.78,Velocity,Speedrunner
28.2,1.0,4.25,70.96,962.2,0.62,15.53,4.32,0.32,Sword Damage,Expert
29.1,0.93,4.63,5.81,791.28,0.72,14.91,1.94,0.26,Bow Damage,Expert
34.19,0.55,5.03,114.22,540.41,0.47,3.98,2.4,0.2,Max Health,Unskilful
29.94,0.51,3.76,105.27,475.52,0.48,1.12,3.21,0.32,Health,Unskilful
29.16,0.69,4.2,196.23,731.96,0.36,3.14,5.82,0.39,Health,Unskilful
38.79,0.43,3.22,100.64,459.78,0.18,4.97,6.41,0.44,Shield,Unskilful
18.56,1.0,6.3,0.91,628.57,0.98,10.71,3.47,0.11,Velocity,Tactic
36.28,0.56,4.65,133.06,613.63,0.43,6.01,5.95,0.29,Health,Unskilful
34.8,0.84,2.13,229.63,814.41,0.31,15.32,2.83,0.77,Velocity,Speedrunner
47.15,0.8,4.67,368.44,1047.39,0.24,10.36,4.17,0.31,Velocity,Speedrunner
29.95,0.89,4.26,170.53,768.71,0.49,7.51,5.46,0.25,Health,Unskilful
49.24,0.55,2.42,155.2,702.45,0.24,4.25,3.32,0.73,Max Health,Unskilful
53.51,0.86,2.16,247.04,1132.92,0.0,13.67,0.14,0.77,Sword Damage,Berserker
42.95,0.82,4.09,145.95,987.64,0.32,17.05,7.25,0.41,Velocity,Speedrunner
20.62,1.0,5.81,27.91,698.42,1.0,9.21,1.32,0.11,Bow Damage,Tactic
59.45,0.89,1.75,210.52,1163.37,0.05,16.34,0.04,0.86,Sword Damage,Berserker
35.75,0.89,5.69,12.87,1046.9,0.51,9.17,7.01,0.31,Sword Damage,Expert
63.05,0.93,4.36,175.9,1301.37,0.24,15.17,5.71,0.63,Velocity,Speedrunner
45.37,0.89,5.15,89.43,1164.25,0.35,15.42,5.7,0.32,Velocity,Speedrunner
49.8,0.5,2.47,145.3,679.87,0.22,4.4,3.07,0.72,Max Health,Unskilful
57.43,0.82,3.56,336.17,1251.26,0.0,13.71,0.0,0.66,Velocity,Berserker
27.08,0.95,4.34,24.51,660.11,0.53,12.53,1.69,0.23,Velocity,Expert
36.04,0.54,3.93,110.37,626.59,0.41,7.7,5.22,0.42,Health,Unskilful
20.42,0.91,7.68,22.1,669.96,0.97,0.0,0.0,0.0,Max Health,Tactic
22.25,0.92,5.53,1.1,708.84,1.0,9.79,1.69,0.09,Velocity,Tactic
60.0,0.81,3.02,174.0,1095.34,0.0,9.56,0.0,0.77,Velocity,Berserker
35.01,1.0,4.11,78.03,1055.5,0.47,13.58,6.92,0.39,Sword Damage,Expert
21.95,1.0,6.95,0.23,750.56,0.99,5.0,0.0,0.03,Shield,Tactic
50.08,0.83,3.77,324.35,1061.31,0.0,8.78,0.02,0.78,Health,Berserker
47.2,0.83,3.21,95.54,769.66,0.0,5.68,0.0,0.68,Max Health,Berserker
21.52,1.0,6.31,18.53,696.26,0.86,7.05,3.59,0.12,Armor,Tactic
58.58,0.88,2.54,233.55,1191.33,0.0,9.45,0.12,0.75,Sword Damage,Berserker
44.49,0.91,4.17,191.17,1470.79,0.36,6.05,3.1,0.38,Health,Speedrunner
32.24,1.0,4.67,27.25,1323.95,0.68,21.63,5.25,0.24,Velocity,Expert
21.5,1.0,5.47,40.49,704.53,0.81,9.22,1.2,0.17,Bow Damage,Tactic
32.87,1.0,5.07,38.93,1296.18,0.7,22.46,5.95,0.24,Velocity,Expert
54.69,0.87,4.11,155.77,1173.35,0.33,13.07,5.45,0.45,Sword Damage,Speedrunner
33.74,0.53,4.67,110.34,573.89,0.45,4.26,2.07,0.19,Max Health,Unskilful
26.12,0.95,3.27,135.19,761.69,0.55,11.59,4.18,0.46,Velocity,Expert
44.97,0.83,3.6,162.0,1125.5,0.29,15.64,4.87,0.39,Velocity,Speedrunner
50.07,0.95,3.39,246.11,947.02,0.0,14.62,2.55,0.63,Max Health,Berserker
48.1,0.78,4.52,367.84,1133.67,0.26,10.32,4.34,0.31,Velocity,Speedrunner
24.33,0.89,5.54,35.15,1092.07,0.81,10.19,2.36,0.15,Health,Expert
23.13,0.82,1.85,137.34,543.4,0.57,11.26,2.07,0.88,Velocity,Expert
51.68,0.89,3.27,213.15,1120.21,0.0,8.67,0.0,0.73,Health,Berserker
38.26,0.94,3.94,275.0,1201.54,0.48,18.11,2.8,0.35,Velocity,Speedrunner
20.5,1.0,6.72,0.0,705.62,0.99,9.06,0.0,0.06,Shield,Tactic
44.58,1.0,2.8,98.18,1245.0,0.35,19.29,8.68,0.53,Bow Damage,Expert
30.75,0.85,5.57,95.33,925.66,0.6,12.48,0.06,0.21,Bow Damage,Expert
16.98,0.86,6.63,28.54,484.18,0.87,8.54,2.55,0.02,Bow Damage,Tactic
54.43,0.83,3.3,222.42,1027.99,0.0,11.94,0.0,0.62,Max Health,Berserker
24.21,0.9,4.46,188.78,567.94,0.42,11.55,1.89,0.27,Sword Damage,Expert
62.44,0.87,4.36,178.61,1289.79,0.24,14.68,5.35,0.61,Velocity,Speedrunner
51.75,0.99,3.98,129.92,1545.04,0.4,16.45,3.29,0.74,Bow Damage,Speedrunner
17.9,0.86,6.15,17.4,557.55,1.0,7.09,1.38,0.07,Shield,Tactic
30.4,1.0,6.16,23.42,813.95,0.48,9.58,3.48,0.26,Shield,Expert
25.88,1.0,5.74,17.51,848.65,0.78,9.66,2.1,0.22,Shield,Tactic
44.01,1.0,2.93,96.77,1235.49,0.36,18.59,8.55,0.56,Bow Damage,Expert
27.06,1.0,4.34,84.06,1044.31,0.61,15.38,4.46,0.29,Sword Damage,Expert
19.49,0.87,6.43,123.44,536.01,0.67,5.2,4.55,0.13,Shield,Unskilful
40.8,0.88,5.26,97.76,1114.34,0.36,15.65,5.74,0.27,Velocity,Speedrunner
23.59,0.86,5.2,129.57,592.3,0.43,8.57,4.26,0.53,Bow Damage,Expert
60.0,0.92,2.07,191.79,1167.25,0.05,17.03,0.14,0.83,Sword Damage,Berserker
35.26,1.0,3.44,58.74,1116.17,0.28,16.46,7.85,0.56,Sword Damage,Speedrunner
31.09,0.66,4.4,175.26,665.75,0.41,3.79,3.36,0.36,Armor,Unskilful
36.05,0.47,4.97,108.18,478.57,0.38,9.8,4.15,0.2,Health,Unskilful
67.98,0.77,3.69,119.48,1074.94,0.0,13.68,0.0,0.72,Sword Damage,Berserker
49.58,0.94,3.8,192.15,1179.44,0.38,13.62,5.25,0.54,Velocity,Speedrunner
18.26,0.8,6.3,0.0,536.39,1.0,5.07,0.0,0.02,Armor,Tactic
28.3,0.94,6.09,44.39,725.74,0.62,8.45,4.84,0.27,Shield,Expert
24.18,0.83,1.83,150.7,576.49,0.57,11.92,1.51,0.87,Velocity,Expert
75.49,0.89,1.92,232.44,1288.15,0.0,8.93,0.0,0.85,Health,Berserker
19.95,0.93,6.31,8.18,645.35,1.0,10.98,3.07,0.04,Max Health,Tactic
68.21,0.77,3.81,140.88,1020.5,0.0,14.01,0.0,0.72,Sword Damage,Berserker
26.77,1.0,6.1,20.88,818.45,0.78,9.68,1.9,0.22,Shield,Tactic
26.43,0.96,3.46,130.79,822.02,0.55,11.93,4.12,0.44,Velocity,Expert
24.28,0.89,5.54,36.11,1024.51,0.82,9.84,2.19,0.15,Health,Expert
20.88,0.92,5.52,6.21,680.73,1.0,9.16,1.47,0.09,Velocity,Tactic
63.69,0.94,3.33,238.9,1719.45,0.0,8.95,0.07,0.71,Velocity,Berserker
30.12,0.68,4.39,194.01,722.39,0.39,3.22,5.76,0.36,Health,Unskilful
75.42,0.91,3.02,234.87,1498.75,0.09,7.72,7.07,0.72,Sword Damage,Speedrunner
24.33,0.86,5.41,118.56,656.61,0.41,8.83,3.45,0.55,Bow Damage,Expert
21.53,1.0,5.63,17.94,753.59,1.0,12.56,0.0,0.08,Armor,Tactic
26.12,0.7,4.87,101.45,485.16,0.43,7.82,6.12,0.37,Shield,Unskilful
37.89,0.59,3.78,117.43,628.34,0.4,7.48,4.74,0.36,Health,Unskilful
30.1,0.78,5.62,141.5,784.69,0.36,6.54,2.69,0.23,Max Health,Unskilful
44.56,0.9,3.17,181.42,1068.59,0.41,16.13,7.46,0.52,Bow Damage,Speedrunner
30.9,1.0,5.95,14.37,820.09,0.49,9.25,4.21,0.24,Shield,Expert
60.64,1.0,3.29,240.03,1680.73,0.18,11.5,7.15,0.7,Max Health,Speedrunner
55.78,0.44,4.47,157.12,761.73,0.25,3.17,7.92,0.5,Health,Unskilful
38.15,0.59,3.69,110.4,584.11,0.37,7.67,5.09,0.39,Health,Unskilful
65.87,0.93,3.04,262.52,1741.19,0.0,9.03,0.03,0.71,Velocity,Berserker
27.73,1.0,5.46,140.82,1207.58,0.51,11.12,3.46,0.32,Health,Expert
21.87,0.93,6.46,1.85,696.7,0.92,8.27,0.0,0.01,Bow Damage,Tactic
33.84,0.43,4.87,108.81,499.63,0.38,9.28,4.42,0.15,Health,Unskilful
35.46,0.8,5.5,232.75,969.18,0.44,15.95,1.86,0.49,Velocity,Speedrunner
35.74,0.71,4.83,141.86,616.9,0.28,3.35,5.77,0.37,Health,Unskilful
26.12,0.66,4.86,103.34,482.5,0.42,7.54,6.55,0.33,Shield,Unskilful
65.88,0.96,2.35,256.45,1184.9,0.0,7.76,0.0,0.76,Health,Berserker
56.05,0.84,4.38,163.44,1186.43,0.31,14.3,4.98,0.49,Sword Damage,Speedrunner
20.51,1.0,7.08,3.71,732.3,1.0,8.98,0.0,0.05,Bow Damage,Tactic
73.51,0.93,1.8,232.46,1343.37,0.0,10.22,0.11,0.86,Health,Berserker
26.27,0.88,4.84,18.74,744.35,0.66,13.32,4.8,0.23,Velocity,Expert
29.59,1.0,4.94,20.56,749.42,0.58,16.9,3.46,0.25,Bow Damage,Expert
60.6,0.95,2.4,125.36,1158.69,0.0,9.98,0.0,0.8,Sword Damage,Berserker
73.98,0.86,2.21,141.68,1310.81,0.0,10.77,0.05,0.82,Sword Damage,Berserker
69.28,0.87,2.22,216.71,1073.73,0.0,17.1,2.92,0.76,Armor,Berserker
31.16,0.84,6.58,25.99,668.18,0.39,9.81,2.9,0.29,Bow Damage,Expert
28.31,0.71,4.44,133.24,625.04,0.4,8.58,5.22,0.34,Armor,Unskilful
68.03,0.91,3.81,343.37,1909.07,0.14,13.46,3.62,0.67,Sword Damage,Speedrunner
20.68,0.92,5.77,57.37,690.83,0.98,4.61,1.2,0.12,Bow Damage,Tactic
39.58,0.56,3.26,115.86,546.29,0.36,5.68,2.4,0.55,Armor,Unskilful
17.65,0.91,6.94,1.28,540.2,1.0,13.5,2.58,0.08,Bow Damage,Tactic
28.25,0.92,7.14,157.22,728.35,0.41,10.34,3.95,0.41,Shield,Expert
21.23,0.99,7.02,0.0,722.14,1.0,8.84,0.18,0.04,Bow Damage,Tactic
29.64,0.95,4.42,10.14,867.83,0.73,15.74,2.19,0.27,Bow Damage,Expert
63.22,1.0,2.59,132.98,1362.31,0.0,11.4,0.0,0.78,Max Health,Berserker
28.38,1.0,4.71,37.58,895.47,0.6,14.02,3.59,0.2,Bow Damage,Expert
49.86,0.82,5.99,124.22,818.98,0.0,13.81,0.0,0.58,Max Health,Berserker
39.13,0.92,3.52,51.99,1284.25,0.51,13.15,2.88,0.3,Velocity,Speedrunner
37.22,0.56,4.62,142.95,617.01,0.42,5.45,5.37,0.26,Health,Unskilful
26.39,0.78,3.96,57.31,693.87,0.56,16.97,5.86,0.33,Bow Damage,Expert
30.54,0.81,3.99,177.64,762.95,0.38,3.98,5.49,0.44,Armor,Unskilful
61.98,0.99,1.99,168.14,1670.55,0.42,10.56,7.77,0.7,Velocity,Speedrunner
